Хранилище,Сценарий,Группа,"Время вставки, мс","Удерживаемая память после GC, МБ",Байт на запись,Байт на уникальное значение,"Время преобразования в строки, мс","Время сериализации, мс","Размер сериализованных данных, байт",Всего вставлено,Уникальных значений
Unique V1 (только handle),"10% дублей, uniform",Влияние процента дубликатов,2274.105,212.487068,222.80884,247.565378,16.477,69.304,9639415,1000000,900000
Unique V2 (handle + string),"10% дублей, uniform",Влияние процента дубликатов,2291.303,228.434837,239.531288,266.145876,19.21,74.833,9639415,1000000,900000
Базовое хранилище,"10% дублей, uniform",Влияние процента дубликатов,55.825,41.804604,43.835304,48.705893,11.759,45.879,9639415,1000000,900000
Интернирование,"10% дублей, uniform",Влияние процента дубликатов,300.322,93.034752,97.554008,108.393342,10.507,50.827,9639415,1000000,900000
Базовое хранилище,"40% дублей, uniform",Влияние процента дубликатов,54.335,41.769005,43.797976,72.996627,11.453,41.678,9561758,1000000,600000
Интернирование,"40% дублей, uniform",Влияние процента дубликатов,255.546,81.810936,85.784984,142.974973,11.816,54.732,9561758,1000000,600000
Unique V1 (только handle),"40% дублей, uniform",Влияние процента дубликатов,1656.404,150.921532,158.252696,263.754493,20.223,70.553,9561758,1000000,600000
Unique V2 (handle + string),"40% дублей, uniform",Влияние процента дубликатов,1809.196,166.867348,174.973096,291.621827,16.281,72.452,9561758,1000000,600000
Unique V2 (handle + string),"80% дублей, uniform",Влияние процента дубликатов,932.697,89.865166,94.230456,471.15228,9.899,52.018,9358290,1000000,200000
Базовое хранилище,"80% дублей, uniform",Влияние процента дубликатов,48.308,41.697929,43.723448,218.61724,10.956,43.917,9358290,1000000,200000
Интернирование,"80% дублей, uniform",Влияние процента дубликатов,180.804,51.710915,54.222824,271.11412,11.989,55.725,9358290,1000000,200000
Unique V1 (только handle),"80% дублей, uniform",Влияние процента дубликатов,940.448,73.922966,77.513848,387.56924,12.79,50.236,9358290,1000000,200000
Базовое хранилище,Короткие строки (до 4),Влияние длины строк,0.583,0.606728,63.62,106.033333,0.096,0.354,66390,10000,6000
Интернирование,Короткие строки (до 4),Влияние длины строк,1.608,0.919579,96.4248,160.708,0.151,0.466,66390,10000,6000
Unique V1 (только handle),Короткие строки (до 4),Влияние длины строк,15.705,1.739876,182.4392,304.065333,0.12,0.376,66390,10000,6000
Unique V2 (handle + string),Короткие строки (до 4),Влияние длины строк,22.257,1.904305,199.6808,332.801333,0.096,0.365,66390,10000,6000
Unique V2 (handle + string),Средние строки (до 8),Влияние длины строк,1878.426,166.871712,174.977672,291.629453,18.715,68.25,9561758,1000000,600000
Базовое хранилище,Средние строки (до 8),Влияние длины строк,66.659,41.775688,43.804984,73.008307,9.487,45.157,9561758,1000000,600000
Интернирование,Средние строки (до 8),Влияние длины строк,252.482,81.8162,85.790504,142.984173,11.641,53.751,9561758,1000000,600000
Unique V1 (только handle),Средние строки (до 8),Влияние длины строк,1990.981,150.932472,158.264168,263.773613,18.331,86.539,9561758,1000000,600000
Базовое хранилище,Длиннее (до 12),Влияние длины строк,66.76,43.734001,45.858424,76.430707,11.752,46.82,11472961,1000000,600000
Интернирование,Длиннее (до 12),Влияние длины строк,290.144,83.77433,87.843752,146.406253,9.909,67.288,11472961,1000000,600000
Unique V1 (только handle),Длиннее (до 12),Влияние длины строк,1973.499,155.190849,162.7294,271.215667,12.271,74.791,11472961,1000000,600000
Unique V2 (handle + string),Длиннее (до 12),Влияние длины строк,2258.987,171.136711,179.449848,299.08308,11.827,73.285,11472961,1000000,600000
Базовое хранилище,100 тыс. записей,Влияние размера хранилища,9.071,4.561653,47.8324,79.720667,1.793,2.766,905036,100000,60000
Интернирование,100 тыс. записей,Влияние размера хранилища,18.731,9.410332,98.67448,164.457467,1.196,4.013,905036,100000,60000
Unique V1 (только handle),100 тыс. записей,Влияние размера хранилища,214.321,15.65583,164.16328,273.605467,1.083,4.437,905036,100000,60000
Unique V2 (handle + string),100 тыс. записей,Влияние размера хранилища,233.512,17.351341,181.942,303.236667,1.081,3.486,905036,100000,60000
Базовое хранилище,1 млн записей,Влияние размера хранилища,69.773,41.783379,43.813048,73.021747,8.584,46.583,9561758,1000000,600000
Интернирование,1 млн записей,Влияние размера хранилища,251.705,81.823708,85.798376,142.997293,11.891,54.408,9561758,1000000,600000
Unique V1 (только handle),1 млн записей,Влияние размера хранилища,2300.823,150.934334,158.26612,263.776867,19.006,64.31,9561758,1000000,600000
Unique V2 (handle + string),1 млн записей,Влияние размера хранилища,2737.704,166.880104,174.986472,291.64412,15.648,72.845,9561758,1000000,600000
Интернирование,5 млн записей,Влияние размера хранилища,1615.838,362.207466,75.960411,126.600685,55.932,339.883,49753383,5000000,3000000
Unique V1 (только handle),5 млн записей,Влияние размера хранилища,10709.622,771.805168,161.859275,269.765459,107.705,471.01,49753383,5000000,3000000
Unique V2 (handle + string),5 млн записей,Влияние размера хранилища,12183.936,847.899376,177.817387,296.362312,81.39,467.539,49753383,5000000,3000000
Базовое хранилище,5 млн записей,Влияние размера хранилища,317.58,202.051811,42.373336,70.622227,58.365,203.448,49753383,5000000,3000000
Unique V1 (только handle),"40% дублей, uniform",Влияние распределения,2436.392,150.935829,158.267688,263.77948,13.513,53.997,9561758,1000000,600000
Unique V2 (handle + string),"40% дублей, uniform",Влияние распределения,2737.513,166.893196,175.0002,291.667,11.403,52.142,9561758,1000000,600000
Базовое хранилище,"40% дублей, uniform",Влияние распределения,55.139,41.79731,43.827656,73.046093,13.574,44.147,9561758,1000000,600000
Интернирование,"40% дублей, uniform",Влияние распределения,272.648,81.837639,85.812984,143.02164,12.479,65.494,9561758,1000000,600000
Unique V1 (только handle),"40% дублей, Zipf",Влияние распределения,2621.977,150.817177,158.143272,263.57212,12.955,46.405,9289094,1000000,600000
Unique V2 (handle + string),"40% дублей, Zipf",Влияние распределения,2905.934,166.76313,174.863816,291.439693,11.369,49.627,9289094,1000000,600000
Базовое хранилище,"40% дублей, Zipf",Влияние распределения,65.758,41.667259,43.691288,72.818813,11.456,43.479,9289094,1000000,600000
Интернирование,"40% дублей, Zipf",Влияние распределения,262.644,81.707588,85.676616,142.79436,11.996,46.182,9289094,1000000,600000
Интернирование,"Длинные строки, 95% дублей, uniform","Сценарии, благоприятные для unique",105.141,55.01519,57.687608,1153.75216,11.647,83.458,20653414,1000000,50000
Unique V1 (только handle),"Длинные строки, 95% дублей, uniform","Сценарии, благоприятные для unique",464.106,54.749985,57.40952,1148.1904,13.235,86.367,20653414,1000000,50000
Unique V2 (handle + string),"Длинные строки, 95% дублей, uniform","Сценарии, благоприятные для unique",548.137,70.695297,74.129392,1482.58784,11.958,96.371,20653414,1000000,50000
Базовое хранилище,"Длинные строки, 95% дублей, uniform","Сценарии, благоприятные для unique",68.36,52.517708,55.068808,1101.37616,11.73,88.982,20653414,1000000,50000
Базовое хранилище,"Очень длинные строки, 95% дублей, uniform","Сценарии, благоприятные для unique",61.884,68.498238,71.825608,1436.51216,11.035,129.591,36644448,1000000,50000
Интернирование,"Очень длинные строки, 95% дублей, uniform","Сценарии, благоприятные для unique",117.903,71.000725,74.449656,1488.99312,12.39,174.929,36644448,1000000,50000
Unique V1 (только handle),"Очень длинные строки, 95% дублей, uniform","Сценарии, благоприятные для unique",491.887,71.614571,75.09332,1501.8664,10.97,157.047,36644448,1000000,50000
Unique V2 (handle + string),"Очень длинные строки, 95% дублей, uniform","Сценарии, благоприятные для unique",578.729,87.559898,91.813208,1836.26416,11.652,140.347,36644448,1000000,50000
Базовое хранилище,"Длинные строки, 95% дублей, Zipf","Сценарии, благоприятные для unique",68.322,49.341774,51.7386,1034.772,10.961,74.018,17326365,1000000,50000
Интернирование,"Длинные строки, 95% дублей, Zipf","Сценарии, благоприятные для unique",109.329,51.844261,54.362648,1087.25296,12.409,83.905,17326365,1000000,50000
Unique V1 (только handle),"Длинные строки, 95% дублей, Zipf","Сценарии, благоприятные для unique",345.563,51.574142,54.079408,1081.58816,11.589,88.549,17326365,1000000,50000
Unique V2 (handle + string),"Длинные строки, 95% дублей, Zipf","Сценарии, благоприятные для unique",403.363,67.51947,70.799296,1415.98592,13.962,83.322,17326365,1000000,50000
Базовое хранилище,"Очень длинные строки, 99% дублей, Zipf","Сценарии, благоприятные для unique",59.624,65.935966,69.138872,6913.8872,11.103,121.334,33978428,1000000,10000
Интернирование,"Очень длинные строки, 99% дублей, Zipf","Сценарии, благоприятные для unique",93.234,66.561623,69.79492,6979.492,12.808,152.684,33978428,1000000,10000
Unique V1 (только handle),"Очень длинные строки, 99% дублей, Zipf","Сценарии, благоприятные для unique",147.743,59.998169,62.91264,6291.264,11.894,151.221,33978428,1000000,10000
Unique V2 (handle + string),"Очень длинные строки, 99% дублей, Zipf","Сценарии, благоприятные для unique",212.297,75.943558,79.632592,7963.2592,13.378,132.137,33978428,1000000,10000
