Хранилище,Сценарий,Группа,"Время вставки, мс","Удерживаемая память после GC, МБ","Время преобразования в строки, мс","Время сериализации, мс","Размер сериализованных данных, байт",Всего вставлено,Уникальных значений
Базовое хранилище,"10% дублей, uniform",Влияние процента дубликатов,52.195,16.944702,12.877,46.187,9639415,1000000,900000
Интернирование,"10% дублей, uniform",Влияние процента дубликатов,237.761,51.654198,1.139,40.756,9639415,1000000,900000
Unique V1 (только handle),"10% дублей, uniform",Влияние процента дубликатов,2213.637,171.539047,18.825,71.119,9639415,1000000,900000
Unique V2 (handle + string),"10% дублей, uniform",Влияние процента дубликатов,2161.236,22.341423,3.229,47.538,9639415,1000000,900000
Unique V1 (только handle),"40% дублей, uniform",Влияние процента дубликатов,1745.485,23.554413,16.057,56.486,9561758,1000000,600000
Unique V2 (handle + string),"40% дублей, uniform",Влияние процента дубликатов,1895.199,17.734917,3.685,40.438,9561758,1000000,600000
Базовое хранилище,"40% дублей, uniform",Влияние процента дубликатов,17.806,-107.341347,1.471,20.8,9561758,1000000,600000
Интернирование,"40% дублей, uniform",Влияние процента дубликатов,214.163,40.968132,1.408,24.304,9561758,1000000,600000
Базовое хранилище,"80% дублей, uniform",Влияние процента дубликатов,38.415,16.929779,2.117,44.593,9358290,1000000,200000
Интернирование,"80% дублей, uniform",Влияние процента дубликатов,114.7,10.937859,1.38,40.089,9358290,1000000,200000
Unique V1 (только handle),"80% дублей, uniform",Влияние процента дубликатов,880.668,33.171394,11.799,44.2,9358290,1000000,200000
Unique V2 (handle + string),"80% дублей, uniform",Влияние процента дубликатов,1109.137,11.764389,4.606,49.79,9358290,1000000,200000
Интернирование,Короткие строки (до 4),Влияние длины строк,0.747,-42.277397,0.016,0.17,66390,10000,6000
Unique V1 (только handle),Короткие строки (до 4),Влияние длины строк,13.303,1.18148,0.012,0.166,66390,10000,6000
Unique V2 (handle + string),Короткие строки (до 4),Влияние длины строк,19.308,0.214714,0.024,0.305,66390,10000,6000
Базовое хранилище,Короткие строки (до 4),Влияние длины строк,0.169,-1.085793,0.013,0.277,66390,10000,6000
Unique V2 (handle + string),Средние строки (до 8),Влияние длины строк,1974.82,141.968674,11.133,74.082,9561758,1000000,600000
Базовое хранилище,Средние строки (до 8),Влияние длины строк,43.408,-107.275887,5.293,35.546,9561758,1000000,600000
Интернирование,Средние строки (до 8),Влияние длины строк,267.009,40.968132,2.463,39.379,9561758,1000000,600000
Unique V1 (только handle),Средние строки (до 8),Влияние длины строк,1998.864,110.021263,16.199,69.62,9561758,1000000,600000
Базовое хранилище,Длиннее (до 12),Влияние длины строк,23.604,12.480484,1.309,22.796,11472961,1000000,600000
Интернирование,Длиннее (до 12),Влияние длины строк,224.536,40.968132,4.335,66.589,11472961,1000000,600000
Unique V1 (только handle),Длиннее (до 12),Влияние длины строк,2018.061,112.340172,4.466,81.758,11472961,1000000,600000
Unique V2 (handle + string),Длиннее (до 12),Влияние длины строк,2222.313,22.346886,2.431,73.059,11472961,1000000,600000
Базовое хранилище,100 тыс. записей,Влияние размера хранилища,1.304,-120.145615,1.584,3.291,905036,100000,60000
Интернирование,100 тыс. записей,Влияние размера хранилища,12.988,5.565498,0.121,2.109,905036,100000,60000
Unique V1 (только handle),100 тыс. записей,Влияние размера хранилища,209.365,11.877708,0.131,2.03,905036,100000,60000
Unique V2 (handle + string),100 тыс. записей,Влияние размера хранилища,240.717,2.523094,0.938,1.939,905036,100000,60000
Unique V1 (только handle),1 млн записей,Влияние размера хранилища,2568.222,126.023209,13.749,61.594,9561758,1000000,600000
Unique V2 (handle + string),1 млн записей,Влияние размера хранилища,2746.513,17.762825,12.297,50.379,9561758,1000000,600000
Базовое хранилище,1 млн записей,Влияние размера хранилища,40.767,-107.275887,6.4,33.924,9561758,1000000,600000
Интернирование,1 млн записей,Влияние размера хранилища,234.163,40.968132,11.449,59.666,9561758,1000000,600000
Unique V2 (handle + string),5 млн записей,Влияние размера хранилища,12256.967,726.678894,93.897,412.525,49753383,5000000,3000000
Базовое хранилище,5 млн записей,Влияние размера хранилища,153.497,-544.304825,11.19,109.6,49753383,5000000,3000000
Интернирование,5 млн записей,Влияние размера хранилища,1347.079,176.990349,44.51,250.066,49753383,5000000,3000000
Unique V1 (только handle),5 млн записей,Влияние размера хранилища,11592.712,586.583305,129.845,483.1,49753383,5000000,3000000
Базовое хранилище,"40% дублей, uniform",Влияние распределения,17.735,-370.277809,1.154,24.6,9561758,1000000,600000
Интернирование,"40% дублей, uniform",Влияние распределения,235.08,40.968132,1.27,27.59,9561758,1000000,600000
Unique V1 (только handle),"40% дублей, uniform",Влияние распределения,2957.879,110.021492,27.511,93.297,9561758,1000000,600000
